================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
📊 Experiment 656/1280: G_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $430, Stopped

📊 Experiment 657/1280: G_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 658/1280: G_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 659/1280: G_variable_W (Rep 9/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 660/1280: G_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (660 experiments)

📊 Experiment 661/1280: M_variable_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 662/1280: M_variable_W (Rep 2/10)
   ✓ Rounds: 5, Final: $170, Stopped

📊 Experiment 663/1280: M_variable_W (Rep 3/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 664/1280: M_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 665/1280: M_variable_W (Rep 5/10)
   ✓ Rounds: 5, Final: $30, Stopped

📊 Experiment 666/1280: M_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 667/1280: M_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 668/1280: M_variable_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 669/1280: M_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 670/1280: M_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (670 experiments)

📊 Experiment 671/1280: R_variable_W (Rep 1/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 672/1280: R_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $90, Stopped

📊 Experiment 673/1280: R_variable_W (Rep 3/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 674/1280: R_variable_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 675/1280: R_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 676/1280: R_variable_W (Rep 6/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 677/1280: R_variable_W (Rep 7/10)
   ✓ Rounds: 2, Final: $330, Stopped

📊 Experiment 678/1280: R_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $230, Stopped

📊 Experiment 679/1280: R_variable_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 680/1280: R_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (680 experiments)

📊 Experiment 681/1280: W_variable_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 682/1280: W_variable_W (Rep 2/10)
   ✓ Rounds: 2, Final: $330, Stopped

📊 Experiment 683/1280: W_variable_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 684/1280: W_variable_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 685/1280: W_variable_W (Rep 5/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 686/1280: W_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $430, Stopped

📊 Experiment 687/1280: W_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 688/1280: W_variable_W (Rep 8/10)
   ✓ Rounds: 5, Final: $330, Stopped

📊 Experiment 689/1280: W_variable_W (Rep 9/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 690/1280: W_variable_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (690 experiments)

📊 Experiment 691/1280: P_variable_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 692/1280: P_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 693/1280: P_variable_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 694/1280: P_variable_W (Rep 4/10)
   ✓ Rounds: 5, Final: $330, Stopped

📊 Experiment 695/1280: P_variable_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 696/1280: P_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 697/1280: P_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 698/1280: P_variable_W (Rep 8/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 699/1280: P_variable_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 700/1280: P_variable_W (Rep 10/10)
   ✓ Rounds: 2, Final: $330, Stopped
    💾 Intermediate results saved (700 experiments)

📊 Experiment 701/1280: GM_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, BankruptRunning conditions:  55%|█████▌    | 71/128 [2:25:25<1:15:58, 79.97s/it]Running conditions:  56%|█████▋    | 72/128 [2:28:05<1:36:58, 103.90s/it]Running conditions:  57%|█████▋    | 73/128 [2:30:33<1:47:33, 117.34s/it]Running conditions:  58%|█████▊    | 74/128 [2:32:17<1:41:57, 113.29s/it]Running conditions:  59%|█████▊    | 75/128 [2:34:17<1:41:54, 115.37s/it]Running conditions:  59%|█████▉    | 76/128 [2:36:26<1:43:30, 119.43s/it]Running conditions:  60%|██████    | 77/128 [2:38:21<1:40:18, 118.01s/it]Running conditions:  61%|██████    | 78/128 [2:40:07<1:35:19, 114.40s/it]

📊 Experiment 702/1280: GM_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 703/1280: GM_variable_W (Rep 3/10)
   ✓ Rounds: 2, Final: $330, Stopped

📊 Experiment 704/1280: GM_variable_W (Rep 4/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 705/1280: GM_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 706/1280: GM_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 707/1280: GM_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 708/1280: GM_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 709/1280: GM_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $270, Stopped

📊 Experiment 710/1280: GM_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (710 experiments)

📊 Experiment 711/1280: GR_variable_W (Rep 1/10)
   ✓ Rounds: 15, Final: $1130, Stopped

📊 Experiment 712/1280: GR_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 713/1280: GR_variable_W (Rep 3/10)
   ✓ Rounds: 4, Final: $730, Stopped

📊 Experiment 714/1280: GR_variable_W (Rep 4/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 715/1280: GR_variable_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 716/1280: GR_variable_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 717/1280: GR_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 718/1280: GR_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 719/1280: GR_variable_W (Rep 9/10)
   ✓ Rounds: 7, Final: $430, Stopped

📊 Experiment 720/1280: GR_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (720 experiments)

📊 Experiment 721/1280: GW_variable_W (Rep 1/10)
   ✓ Rounds: 4, Final: $430, Stopped

📊 Experiment 722/1280: GW_variable_W (Rep 2/10)
   ✓ Rounds: 15, Final: $0, Bankrupt

📊 Experiment 723/1280: GW_variable_W (Rep 3/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 724/1280: GW_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 725/1280: GW_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 726/1280: GW_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 727/1280: GW_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 728/1280: GW_variable_W (Rep 8/10)
   ✓ Rounds: 7, Final: $210, Stopped

📊 Experiment 729/1280: GW_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 730/1280: GW_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (730 experiments)

📊 Experiment 731/1280: GP_variable_W (Rep 1/10)
   ✓ Rounds: 5, Final: $30, Stopped

📊 Experiment 732/1280: GP_variable_W (Rep 2/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 733/1280: GP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 734/1280: GP_variable_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 735/1280: GP_variable_W (Rep 5/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 736/1280: GP_variable_W (Rep 6/10)
   ✓ Rounds: 5, Final: $470, Stopped

📊 Experiment 737/1280: GP_variable_W (Rep 7/10)
   ✓ Rounds: 5, Final: $30, Stopped

📊 Experiment 738/1280: GP_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 739/1280: GP_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 740/1280: GP_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (740 experiments)

📊 Experiment 741/1280: MR_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 742/1280: MR_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 743/1280: MR_variable_W (Rep 3/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 744/1280: MR_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 745/1280: MR_variable_W (Rep 5/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 746/1280: MR_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 747/1280: MR_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 748/1280: MR_variable_W (Rep 8/10)
   ✓ Rounds: 9, Final: $830, Stopped

📊 Experiment 749/1280: MR_variable_W (Rep 9/10)
   ✓ Rounds: 13, Final: $430, Stopped

📊 Experiment 750/1280: MR_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (750 experiments)

📊 Experiment 751/1280: MW_variable_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 752/1280: MW_variable_W (Rep 2/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 753/1280: MW_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 754/1280: MW_variable_W (Rep 4/10)
   ✓ Rounds: 12, Final: $670, Stopped

📊 Experiment 755/1280: MW_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $230, Stopped

📊 Experiment 756/1280: MW_variable_W (Rep 6/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 757/1280: MW_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 758/1280: MW_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 759/1280: MW_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $90, Stopped

📊 Experiment 760/1280: MW_variable_W (Rep 10/10)
   ✓ Rounds: 10, Final: $0, Bankrupt
    💾 Intermediate results saved (760 experiments)

📊 Experiment 761/1280: MP_variable_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 762/1280: MP_variable_W (Rep 2/10)
   ✓ Rounds: 7, Final: $130, Stopped

📊 Experiment 763/1280: MP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 764/1280: MP_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 765/1280: MP_variable_W (Rep 5/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 766/1280: MP_variable_W (Rep 6/10)
   ✓ Rounds: 6, Final: $0, Bankrupt

📊 Experiment 767/1280: MP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 768/1280: MP_variable_W (Rep 8/10)
   ✓ Rounds: 8, Final: $30, Stopped

📊 Experiment 769/1280: MP_variable_W (Rep 9/10)
   ✓ Rounds: 6, Final: $530, Stopped

📊 Experiment 770/1280: MP_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (770 experiments)

📊 Experiment 771/1280: RW_variable_W (Rep 1/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 772/1280: RW_variable_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 773/1280: RW_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 774/1280: RW_variable_W (Rep 4/10)
   ✓ Rounds: 2, Final: $330, Stopped

📊 Experiment 775/1280: RW_variable_W (Rep 5/10)
   ✓ Rounds: 6, Final: $230, Stopped

📊 Experiment 776/1280: RW_variable_W (Rep 6/10)
   ✓ Rounds: 5, Final: $330, Stopped

📊 Experiment 777/1280: RW_variable_W (Rep 7/10)
   ✓ Rounds: 7, Final: $430, Stopped

📊 Experiment 778/1280: RW_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 779/1280: RW_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 780/1280: RW_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $230, Stopped
    💾 Intermediate results saved (780 experiments)

📊 Experiment 781/1280: RP_variable_W (Rep 1/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 782/1280: RP_variable_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 783/1280: RP_variable_W (Rep 3/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 784/1280: RP_variable_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 785/1280: RP_variable_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 786/1280: RP_variable_W (Rep 6/10)
   ✓ Rounds: 2, Final: $330, Stopped

📊 Experiment 787/1280: RP_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, StoppedRunning conditions:  62%|██████▏   | 79/128 [2:41:03<1:19:07, 96.88s/it] Running conditions:  62%|██████▎   | 80/128 [2:42:31<1:15:30, 94.39s/it]Running conditions:  63%|██████▎   | 81/128 [2:46:33<1:48:34, 138.61s/it]Running conditions:  64%|██████▍   | 82/128 [2:50:01<2:02:10, 159.36s/it]Running conditions:  65%|██████▍   | 83/128 [2:51:28<1:43:15, 137.69s/it]Running conditions:  66%|██████▌   | 84/128 [2:53:26<1:36:39, 131.82s/it]Running conditions:  66%|██████▋   | 85/128 [2:55:39<1:34:38, 132.06s/it]Running conditions:  67%|██████▋   | 86/128 [2:57:49<1:32:07, 131.60s/it]Running conditions:  68%|██████▊   | 87/128 [2:59:34<1:24:23, 123.50s/it]

📊 Experiment 788/1280: RP_variable_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 789/1280: RP_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 790/1280: RP_variable_W (Rep 10/10)
   ✓ Rounds: 4, Final: $0, Bankrupt
    💾 Intermediate results saved (790 experiments)

📊 Experiment 791/1280: WP_variable_W (Rep 1/10)
   ✓ Rounds: 5, Final: $30, Stopped

📊 Experiment 792/1280: WP_variable_W (Rep 2/10)
   ✓ Rounds: 4, Final: $270, Stopped

📊 Experiment 793/1280: WP_variable_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 794/1280: WP_variable_W (Rep 4/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 795/1280: WP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 796/1280: WP_variable_W (Rep 6/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 797/1280: WP_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 798/1280: WP_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $430, Stopped

📊 Experiment 799/1280: WP_variable_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 800/1280: WP_variable_W (Rep 10/10)
   ✓ Rounds: 4, Final: $0, Bankrupt
    💾 Intermediate results saved (800 experiments)

📊 Experiment 801/1280: GMR_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 802/1280: GMR_variable_W (Rep 2/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 803/1280: GMR_variable_W (Rep 3/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 804/1280: GMR_variable_W (Rep 4/10)
   ✓ Rounds: 9, Final: $0, Bankrupt

📊 Experiment 805/1280: GMR_variable_W (Rep 5/10)
   ✓ Rounds: 24, Final: $70, Stopped

📊 Experiment 806/1280: GMR_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 807/1280: GMR_variable_W (Rep 7/10)
   ✓ Rounds: 9, Final: $0, Bankrupt

📊 Experiment 808/1280: GMR_variable_W (Rep 8/10)
   ✓ Rounds: 9, Final: $0, Bankrupt

📊 Experiment 809/1280: GMR_variable_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 810/1280: GMR_variable_W (Rep 10/10)
   ✓ Rounds: 13, Final: $0, Bankrupt
    💾 Intermediate results saved (810 experiments)

📊 Experiment 811/1280: GMW_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 812/1280: GMW_variable_W (Rep 2/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 813/1280: GMW_variable_W (Rep 3/10)
   ✓ Rounds: 23, Final: $330, Stopped

📊 Experiment 814/1280: GMW_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 815/1280: GMW_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 816/1280: GMW_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 817/1280: GMW_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 818/1280: GMW_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 819/1280: GMW_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 820/1280: GMW_variable_W (Rep 10/10)
   ✓ Rounds: 22, Final: $570, Stopped
    💾 Intermediate results saved (820 experiments)

📊 Experiment 821/1280: GMP_variable_W (Rep 1/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 822/1280: GMP_variable_W (Rep 2/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 823/1280: GMP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 824/1280: GMP_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 825/1280: GMP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 826/1280: GMP_variable_W (Rep 6/10)
   ✓ Rounds: 7, Final: $0, Bankrupt

📊 Experiment 827/1280: GMP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 828/1280: GMP_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 829/1280: GMP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 830/1280: GMP_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (830 experiments)

📊 Experiment 831/1280: GRW_variable_W (Rep 1/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 832/1280: GRW_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 833/1280: GRW_variable_W (Rep 3/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 834/1280: GRW_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 835/1280: GRW_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 836/1280: GRW_variable_W (Rep 6/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 837/1280: GRW_variable_W (Rep 7/10)
   ✓ Rounds: 10, Final: $0, Bankrupt

📊 Experiment 838/1280: GRW_variable_W (Rep 8/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 839/1280: GRW_variable_W (Rep 9/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 840/1280: GRW_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (840 experiments)

📊 Experiment 841/1280: GRP_variable_W (Rep 1/10)
   ✓ Rounds: 7, Final: $430, Stopped

📊 Experiment 842/1280: GRP_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 843/1280: GRP_variable_W (Rep 3/10)
   ✓ Rounds: 8, Final: $30, Stopped

📊 Experiment 844/1280: GRP_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 845/1280: GRP_variable_W (Rep 5/10)
   ✓ Rounds: 14, Final: $630, Stopped

📊 Experiment 846/1280: GRP_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 847/1280: GRP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 848/1280: GRP_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 849/1280: GRP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 850/1280: GRP_variable_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (850 experiments)

📊 Experiment 851/1280: GWP_variable_W (Rep 1/10)
   ✓ Rounds: 5, Final: $470, Stopped

📊 Experiment 852/1280: GWP_variable_W (Rep 2/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 853/1280: GWP_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 854/1280: GWP_variable_W (Rep 4/10)
   ✓ Rounds: 7, Final: $0, Bankrupt

📊 Experiment 855/1280: GWP_variable_W (Rep 5/10)
   ✓ Rounds: 6, Final: $0, Bankrupt

📊 Experiment 856/1280: GWP_variable_W (Rep 6/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 857/1280: GWP_variable_W (Rep 7/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 858/1280: GWP_variable_W (Rep 8/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 859/1280: GWP_variable_W (Rep 9/10)
   ✓ Rounds: 3, Final: $230, Stopped

📊 Experiment 860/1280: GWP_variable_W (Rep 10/10)
   ✓ Rounds: 9, Final: $0, Bankrupt
    💾 Intermediate results saved (860 experiments)

📊 Experiment 861/1280: MRW_variable_W (Rep 1/10)
   ✓ Rounds: 7, Final: $1330, Stopped

📊 Experiment 862/1280: MRW_variable_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 863/1280: MRW_variable_W (Rep 3/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 864/1280: MRW_variable_W (Rep 4/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 865/1280: MRW_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 866/1280: MRW_variable_W (Rep 6/10)
   ✓ Rounds: 8, Final: $30, Stopped

📊 Experiment 867/1280: MRW_variable_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 868/1280: MRW_variable_W (Rep 8/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 869/1280: MRW_variable_W (Rep 9/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 870/1280: MRW_variable_W (Rep 10/10)
   ✓ Rounds: 3, Final: $0, Bankrupt
    💾 Intermediate results saved (870 experiments)

📊 Experiment 871/1280: MRP_variable_W (Rep 1/10)
   ✓ Rounds: 4, Final: $430, Stopped

📊 Experiment 872/1280: MRP_variable_W (Rep 2/10)Running conditions:  69%|██████▉   | 88/128 [3:01:04<1:15:32, 113.31s/it]Running conditions:  70%|██████▉   | 89/128 [3:03:19<1:18:03, 120.09s/it]Running conditions:  70%|███████   | 90/128 [3:04:51<1:10:33, 111.42s/it]Running conditions:  71%|███████   | 91/128 [3:08:00<1:23:05, 134.73s/it]Running conditions:  72%|███████▏  | 92/128 [3:12:50<1:48:46, 181.29s/it]Running conditions:  73%|███████▎  | 93/128 [3:21:36<2:46:08, 284.81s/it]Running conditions:  73%|███████▎  | 94/128 [3:23:57<2:16:54, 241.61s/it]Running conditions:  74%|███████▍  | 95/128 [3:25:47<1:51:13, 202.22s/it]
   ✓ Rounds: 2, Final: $100, Stopped

📊 Experiment 873/1280: MRP_variable_W (Rep 3/10)
   ✓ Rounds: 2, Final: $30, Stopped

📊 Experiment 874/1280: MRP_variable_W (Rep 4/10)
   ✓ Rounds: 4, Final: $0, Bankrupt

📊 Experiment 875/1280: MRP_variable_W (Rep 5/10)
   ✓ Rounds: 3, Final: $0, Bankrupt

📊 Experiment 876/1280: MRP_variable_W (Rep 6/10)
